Timestamp,Consent Form,Age,Gender,Do you hold a valid driving license?,Years Driving.,How often (in days) do you drive in a week?,Rough estimate of kilometers driven. (Lifetime),What speed range (in km/h) do you consider as 𝘀𝗹𝗼𝘄 in an urban city setting?,What speed range (in km/h) do you consider as 𝗺𝗼𝗱𝗲𝗿𝗮𝘁𝗲 in an urban city setting?,What speed range (in km/h) do you consider as 𝗳𝗮𝘀𝘁 in an urban city setting?,Have you ever been involved in a traffic light intersection accident?,You have read the texts above and understands that you are approaching a yellow traffic light intersection.,"Sunny, minimal traffic. Roughly 1 cars' length to the intersection. [Fast]","Sunny, minimal traffic. Roughly 1 cars' length to the intersection. [Moderate]","Sunny, minimal traffic. Roughly 1 cars' length to the intersection. [Slow]","Sunny, high traffic. Roughly 1 cars' length to the intersection. [Fast]","Sunny, high traffic. Roughly 1 cars' length to the intersection. [Moderate]","Sunny, high traffic. Roughly 1 cars' length to the intersection. [Slow]","Sunny, high traffic. Roughly 2 cars' length to the intersection. [Fast]","Sunny, high traffic. Roughly 2 cars' length to the intersection. [Moderate]","Sunny, high traffic. Roughly 2 cars' length to the intersection. [Slow]","Rainy day, minimal traffic. Roughly 1 cars' length to the intersection.  [Fast]","Rainy day, minimal traffic. Roughly 1 cars' length to the intersection.  [Moderate]","Rainy day, minimal traffic. Roughly 1 cars' length to the intersection.  [Slow]","Rainy day, high traffic. Roughly 1 cars' length to the intersection. [Fast]","Rainy day, high traffic. Roughly 1 cars' length to the intersection. [Moderate]","Rainy day, high traffic. Roughly 1 cars' length to the intersection. [Slow]","Sunny, high traffic. Roughly 0.5 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Fast]","Sunny, high traffic. Roughly 0.5 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Moderate]","Sunny, high traffic. Roughly 0.5 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Slow]","Sunny, high traffic. Roughly 2 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Fast]","Sunny, high traffic. Roughly 2 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Moderate]","Sunny, high traffic. Roughly 2 cars' length to the intersection. The cars ahead of you are running the yellow light.  [Slow]","Night, minimal traffic. Roughly 1 cars' length to the intersection. [Fast]","Night, minimal traffic. Roughly 1 cars' length to the intersection. [Moderate]","Night, minimal traffic. Roughly 1 cars' length to the intersection. [Slow]","Night, high traffic. Roughly 1 cars' length to the intersection. [Fast]","Night, high traffic. Roughly 1 cars' length to the intersection. [Moderate]","Night, high traffic. Roughly 1 cars' length to the intersection. [Slow]","Night, minimal traffic. Roughly 2 cars' length to the intersection. [Fast]","Night, minimal traffic. Roughly 2 cars' length to the intersection. [Moderate]","Night, minimal traffic. Roughly 2 cars' length to the intersection. [Slow]","Rainy night, minimal traffic. Roughly 1 cars' length to the intersection. [Fast]","Rainy night, minimal traffic. Roughly 1 cars' length to the intersection. [Moderate]","Rainy night, minimal traffic. Roughly 1 cars' length to the intersection. [Slow]","Rainy night, high traffic. Roughly 1 cars' length to the intersection. [Fast]","Rainy night, high traffic. Roughly 1 cars' length to the intersection. [Moderate]","Rainy night, high traffic. Roughly 1 cars' length to the intersection. [Slow]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 2 cars' length to the intersection.  [Fast]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 2 cars' length to the intersection.  [Moderate]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 2 cars' length to the intersection.  [Slow]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 1 cars' length to the intersection.  [Fast]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 1 cars' length to the intersection.  [Moderate]","Traffic light with countdown timer, 3 seconds for yellow light. Sunny, high traffic. Roughly 1 cars' length to the intersection.  [Slow]"
6/2/2022 12:09:35,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",22,Male,Yes,5,6 to 7 days,50000 - 100000 km,10-40,40-70,70-100,No,Yes,Brake,Accelerate,Accelerate,Brake,Brake,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Brake,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake
6/2/2022 13:04:18,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",27,Male,Yes,9,0 to 2 days,50000 - 100000 km,20-30,60-80,100-150,Yes,Yes,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Accelerate,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake
6/2/2022 13:04:37,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",27,Female,Yes,10,3 to 5 days,>100000 km,40-50,80-90,100-120,No,Yes,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake
6/2/2022 13:07:09,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",21,Male,Yes,4,3 to 5 days,50000 - 100000 km,0-40,35-60,60-100,No,Yes,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Accelerate,Accelerate,Accelerate
6/2/2022 13:10:29,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",22,Male,Yes,4.5,0 to 2 days,<10000 km,20-50,50-80,80-100,No,Yes,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Brake,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake
6/2/2022 13:10:48,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",20,Male,Yes,2,0 to 2 days,<10000 km,30-50,60-80,90-130,No,Yes,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake
6/2/2022 13:11:27,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",19,Female,Yes,2,6 to 7 days,>100000 km,40-45,50-60,75-85,Yes,Yes,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake
6/2/2022 13:24:44,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",20,Female,Yes,1,3 to 5 days,<10000 km,30-40,50-60,70-80,No,Yes,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Accelerate,Accelerate,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake
6/2/2022 13:27:26,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",28,Female,Yes,10,3 to 5 days,10000- 50000 km,20-40,60-70,80-100,No,Yes,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Brake,Accelerate,Accelerate,Brake,Accelerate,Accelerate,Brake,Accelerate,Accelerate,Brake,Accelerate,Accelerate,Brake,Brake,Brake
6/2/2022 13:29:43,"1.    I would like to give consent to participate in the study described in the Participant Information Sheet provided with this form., 2.    I understand that my participation will not prejudice my future relationship with Sunway University, Malaysia. I understand that I am free to withdraw consent and discontinue my participation at any time without prejudice., 3.    I understand that any information that is obtained in connection with this study and which can be identified with myself will remain confidential and will be disclosed only with my permission or except as required by law. I consent to participate in this study and I agree that my responses may be used for further studies, but that my personal information (such as name) will remain confidential. I agree that research data gathered from the results of this study may be published or provided to other researchers, provided that I cannot be identified., 4.    I understand that if I have any questions relating to my participation in this research, I may contact Yan Yi Cheng (email: 17109505@imail.sunway.edu.my)., 5.    I understand the purpose of this study and what is being asked of me, and that I can stop participating at any time. With this understanding, I agree to take part in this research.",18,Male,Yes,1,3 to 5 days,10000- 50000 km,40-60,70-80,120-140,No,Yes,Accelerate,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Accelerate,Brake,Brake,Brake,Brake,Accelerate,Accelerate,Brake,Brake,Accelerate,Brake,Brake,Brake,Brake,Brake,Accelerate,Brake,Brake,Accelerate,Accelerate
